Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1775833749,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1775833750,3,,Aggregated,0.000000,0.000000,730,730,730,730,730,730,730,730,730,730,730,2,0,723.2570390006003,726.3813839999784,723.2570390006003,729.5057289993565,15.0
1775833751,6,,Aggregated,0.000000,0.000000,710,720,720,730,730,730,730,730,730,730,730,5,0,710,707.8366321999056,667.8900209990388,729.5057289993565,15.0
1775833752,9,,Aggregated,0.000000,0.000000,710,710,720,720,730,730,730,730,730,730,730,7,0,710,702.2641128569376,666.8064890000096,729.5057289993565,15.0
1775833753,12,,Aggregated,0.000000,0.000000,710,710,720,720,730,730,730,730,730,730,730,7,0,710,702.2641128569376,666.8064890000096,729.5057289993565,15.0
1775833754,12,,Aggregated,2.333333,0.000000,720,730,1200,1200,1900,2500,2500,2500,2500,2500,2500,12,0,710,1011.7048346661855,420.25200199714163,2512.6925309996295,15.0
1775833755,12,,Aggregated,2.333333,0.000000,720,1200,1200,1900,2500,5100,5100,5100,5100,5100,5100,13,0,720,1325.2805469995878,420.25200199714163,5088.189095000416,44.46153846153846
1775833756,12,,Aggregated,1.750000,0.000000,1200,1900,2500,2500,4200,5100,5100,5100,5100,5100,5100,16,0,730,1658.72035518737,420.25200199714163,5088.189095000416,62.875
1775833757,12,,Aggregated,1.400000,0.000000,1200,2100,2500,3000,4200,5100,5100,5100,5100,5100,5100,17,0,1200,1809.160336940883,420.25200199714163,5088.189095000416,82.58823529411765
1775833758,12,,Aggregated,2.285714,0.000000,1200,2100,3000,3600,4200,5100,5100,5100,5100,5100,5100,20,0,730,1773.6477994496454,420.25200199714163,5088.189095000416,91.6
1775833759,12,,Aggregated,2.285714,0.000000,1200,2500,3400,3600,4200,5100,5100,5100,5100,5100,5100,23,0,1200,1952.86951769547,420.25200199714163,5142.319815000519,147.7391304347826
1775833760,12,,Aggregated,2.125000,0.000000,940,2100,3000,3400,4200,5100,5100,5100,5100,5100,5100,26,0,890,1795.6204908843154,411.94439999890164,5142.319815000519,139.53846153846155
1775833761,12,,Aggregated,2.111111,0.000000,1200,3000,3700,4200,5000,5100,5100,5100,5100,5100,5100,30,0,1200,2123.2733356329845,411.94439999890164,5142.319815000519,135.7
1775833762,12,,Aggregated,2.300000,0.000000,940,2500,3600,4000,4300,5100,5100,5100,5100,5100,5100,33,0,940,1968.3846923331712,409.54072500244365,5142.319815000519,124.72727272727273
1775833763,12,,Aggregated,2.500000,0.000000,940,2500,3600,4000,4300,5100,5100,5100,5100,5100,5100,34,0,890,1922.9137427057995,409.54072500244365,5142.319815000519,121.5
1775833764,12,,Aggregated,2.500000,0.000000,940,2500,3600,4000,4300,5100,5100,5100,5100,5100,5100,34,0,890,1922.9137427057995,409.54072500244365,5142.319815000519,121.5
1775833765,12,,Aggregated,2.600000,0.000000,960,3000,4000,4200,5100,7300,9200,9200,9200,9200,9200,40,0,940,2235.372272150016,409.54072500244365,9243.017058000987,138.9
1775833766,12,,Aggregated,2.700000,0.000000,1200,3400,4000,4200,5100,5100,9200,9200,9200,9200,9200,44,0,960,2289.586082999945,409.54072500244365,9243.017058000987,144.77272727272728
1775833767,12,,Aggregated,2.700000,0.000000,960,3000,4000,4200,5100,5100,9200,9200,9200,9200,9200,45,0,960,2258.2137219332963,409.54072500244365,9243.017058000987,146.0
1775833768,12,,Aggregated,2.700000,0.000000,960,3000,4000,4200,5100,5100,9200,9200,9200,9200,9200,45,0,960,2258.2137219332963,409.54072500244365,9243.017058000987,146.0
1775833769,12,,Aggregated,2.700000,0.000000,960,3000,4000,4200,5100,5100,9200,9200,9200,9200,9200,45,0,960,2258.2137219332963,409.54072500244365,9243.017058000987,146.0
1775833770,12,,Aggregated,2.600000,0.000000,1200,3000,4000,4200,5100,7700,7700,9200,9200,9200,9200,51,0,1200,2447.0792794118634,409.54072500244365,9243.017058000987,167.90196078431373
1775833771,12,,Aggregated,2.600000,0.000000,2100,3400,4000,4200,5100,7700,7700,9200,9200,9200,9200,57,0,2100,2563.063641859659,409.54072500244365,9243.017058000987,168.28070175438597
1775833772,12,,Aggregated,2.600000,0.000000,2100,3400,4000,4200,5100,7700,7700,9200,9200,9200,9200,57,0,2100,2563.063641859659,409.54072500244365,9243.017058000987,168.28070175438597
1775833773,12,,Aggregated,2.400000,0.000000,1900,3400,4000,4200,5100,7700,7700,9200,9200,9200,9200,60,0,1700,2463.79461113332,409.54072500244365,9243.017058000987,170.1
1775833774,12,,Aggregated,2.700000,0.000000,1700,3400,3700,4200,5100,7300,7700,9200,9200,9200,9200,61,0,1700,2437.915055311455,409.54072500244365,9243.017058000987,170.59016393442624
1775833775,12,,Aggregated,2.700000,0.000000,1700,3400,3700,4200,5100,7300,7700,9200,9200,9200,9200,61,0,1700,2437.915055311455,409.54072500244365,9243.017058000987,170.59016393442624
1775833776,12,,Aggregated,2.700000,0.000000,1900,3200,3700,4000,5100,7300,7700,9200,9200,9200,9200,66,0,1700,2416.876804575705,409.54072500244365,9243.017058000987,178.84848484848484
1775833777,12,,Aggregated,2.700000,0.000000,1200,3100,3700,4000,5100,7300,7700,9200,9200,9200,9200,69,0,1200,2343.057484289813,409.54072500244365,9243.017058000987,177.08695652173913
1775833778,12,,Aggregated,2.700000,0.000000,1200,3100,3700,4000,5100,7300,7700,9200,9200,9200,9200,69,0,1200,2343.057484289813,409.54072500244365,9243.017058000987,177.08695652173913
1775833779,12,,Aggregated,2.400000,0.000000,1700,3100,3700,4000,5100,7300,7700,9200,9200,9200,9200,70,0,1200,2346.9625174285675,409.54072500244365,9243.017058000987,180.24285714285713
1775833780,12,,Aggregated,2.400000,0.000000,1700,3100,3700,4000,5000,7300,7700,9200,9200,9200,9200,72,0,1700,2333.919317319467,409.54072500244365,9243.017058000987,180.79166666666666
1775833781,12,,Aggregated,2.400000,0.000000,2000,3400,4000,4200,7300,7700,8200,9200,9200,9200,9200,77,0,2000,2672.0910450000833,409.54072500244365,9243.017058000987,187.36363636363637
1775833782,12,,Aggregated,2.200000,0.000000,2000,3400,4000,4200,7100,7600,8200,9200,9200,9200,9200,83,0,2000,2636.796831180859,409.54072500244365,9243.017058000987,181.75903614457832
1775833783,12,,Aggregated,2.200000,0.000000,2100,3400,4000,4200,7100,7600,8200,9200,9200,9200,9200,84,0,2000,2636.969201416832,409.54072500244365,9243.017058000987,184.33333333333334
1775833784,12,,Aggregated,2.000000,0.000000,1900,3200,4000,4200,7100,7600,8200,9200,9200,9200,9200,87,0,1900,2560.768769735806,409.54072500244365,9243.017058000987,178.49425287356323
1775833785,12,,Aggregated,2.300000,0.000000,1700,3100,3700,4200,5100,7600,8200,9200,9200,9200,9200,95,1,1700,2471.5451250212745,409.54072500244365,9243.017058000987,170.55789473684212
1775833786,12,,Aggregated,2.600000,0.000000,1700,3100,3700,4200,5100,7600,8200,9200,9200,9200,9200,96,1,1700,2455.105021375213,409.54072500244365,9243.017058000987,174.86458333333334
1775833787,12,,Aggregated,3.400000,0.100000,1600,3000,3700,4200,5100,7600,8200,9200,9200,9200,9200,100,1,1600,2378.9556821302176,409.54072500244365,9243.017058000987,174.16
